"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",06/02/2022 8:09,0,1,1         ,1         ,"",0.011,<0>  ,0.051,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.128,<0>  ,2.7,<0>  ,
"lksblnut  ","P",06/02/2022 8:11,0,1,1         ,2         ,"",0.011,<0>  ,0.049,<0>  ,0.007,<1> (CHB) ,0.124,<0>  ,0.131,<0>  ,2.9,<0>  ,
"lksblnut  ","P",06/28/2022 7:35,0,1,1         ,1         ,"",0.016,<0>  ,0.117,<0>  ,0.011,<1> (CHB) ,0.206,<0>  ,0.217,<0>  ,3.4,<0>  ,
"lksblnut  ","P",06/28/2022 7:38,0,1,1         ,2         ,"",0.017,<0>  ,0.114,<0>  ,0.01,<1> (CHB) ,0.198,<0>  ,0.208,<0>  ,2.9,<0>  ,
"lksblnut  ","P",08/02/2022 7:29,0,1,1         ,1         ,"",0.013,<0>  ,0.061,<0>  ,0.013,<0>  ,0.339,<0>  ,0.352,<0>  ,3.1,<0>  ,
"lksblnut  ","P",08/02/2022 7:31,0,1,1         ,2         ,"",0.015,<0>  ,0.064,<0>  ,0.011,<0>  ,0.342,<0>  ,0.353,<0>  ,5.4,<0>  ,
"lksblnut  ","P",08/31/2022 7:35,0,1,1         ,1         ,"",0.018,<0>  ,0.019,<0>  ,0.017,<1> (CHB) ,0.265,<0>  ,0.282,<0>  ,2.6,<0>  ,
"lksblnut  ","P",08/31/2022 7:38,0,1,1         ,2         ,"",0.014,<0>  ,0.02,<0>  ,0.014,<1> (CHB) ,0.271,<0>  ,0.285,<0>  ,2.6,<0>  ,
"lksblnut  ","P",09/28/2022 8:05,0,1,1         ,1         ,"",0.025,<0>  ,0.072,<1> (CHB) ,0.011,<0>  ,0.368,<0>  ,0.379,<0>  ,3.2,<0>  ,
"lksblnut  ","P",09/28/2022 8:07,0,1,1         ,2         ,"",0.025,<0>  ,0.075,<1> (CHB) ,0.011,<0>  ,0.367,<0>  ,0.378,<0>  ,2.9,<0>  ,
"lksblnut  ","P",10/26/2022 11:56,0,1,1         ,1         ,"",0.019,<0>  ,0.127,<0>  ,0.008,<0>  ,0.359,<0>  ,0.367,<0>  ,4.2,<0>  ,
"lksblnut  ","P",10/26/2022 11:58,0,1,1         ,2         ,"",0.02,<0>  ,0.121,<0>  ,0.009,<0>  ,0.35,<0>  ,0.359,<0>  ,4.4,<0>  ,

